Src,Dst,Packets,Bytes,Duration_sec
10.0.0.1,10.46.42.1,924,2463728,83
10.46.42.1,10.0.0.1,2,132,83
10.46.42.1,10.0.0.1,797,54210,83
10.0.0.1,10.123.123.123,2141,5710074,76
10.123.123.123,10.0.0.1,2,132,76
10.123.123.123,10.0.0.1,1009,69102,76
10.0.0.4,10.123.123.123,1230,3255876,68
10.123.123.123,10.0.0.4,2,132,68
10.123.123.123,10.0.0.4,1095,76462,68
10.0.0.2,10.46.42.1,1121,3001026,60
10.46.42.1,10.0.0.2,3,206,60
10.46.42.1,10.0.0.2,1011,68674,58
10.0.0.4,10.46.42.1,2559,7035342,51
10.46.42.1,10.0.0.4,2,132,51
10.46.42.1,10.0.0.4,1305,88370,51
10.0.0.1,10.46.42.3,930,2453988,44
10.46.42.3,10.0.0.1,3,198,44
10.46.42.3,10.0.0.1,820,56040,44
10.0.0.3,10.46.42.1,991,2587638,38
10.46.42.1,10.0.0.3,2,132,38
10.46.42.1,10.0.0.3,883,60142,38
10.0.0.2,10.123.123.123,1509,4072306,30
10.123.123.123,10.0.0.2,2,132,30
10.123.123.123,10.0.0.2,1404,96592,30
10.0.0.2,10.46.42.3,1269,3270034,21
10.46.42.3,10.0.0.2,2,132,21
10.46.42.3,10.0.0.2,1147,80094,21
10.123.123.123,10.0.0.1,3,206,13
10.123.123.123,10.0.0.1,882,59840,13
10.46.42.1,10.0.0.4,3,198,5
10.46.42.1,10.0.0.4,1023,69270,5
N/A,N/A,66,3764,84
