Time,10.0.0.1,10.46.42.1,10.123.123.123,10.0.0.2,10.0.0.4,10.46.42.3,10.0.0.3
01:06:37,1207394,26478,,,,,
01:06:38,2432626,52824,,,,,
01:06:47,7945622,106626,68640.0,,,,
01:06:48,13396284,160968,137742.0,,,,
01:06:57,18847012,215310,283570.0,0.0,3255876.0,,
01:06:58,24360074,269112,427664.0,0.0,6553484.0,,
01:07:07,29873136,413586,571758.0,3020312.0,10798222.0,,
01:07:08,35323864,559308,717586.0,6021338.0,14986418.0,,
01:07:17,42996050,769166,861680.0,9041650.0,22233078.0,47784.0,
01:07:18,50574702,980890,1007508.0,12042676.0,29405424.0,96108.0,
01:07:28,58575914,1250194,1167742.0,15664026.0,36652084.0,151872.0,2611400.0
01:07:29,66480630,1522192,1329874.0,19254176.0,43824430.0,208110.0,5199038.0
01:07:37,74481842,1791496,1569736.0,27469878.0,51071090.0,294716.0,7810438.0
01:07:38,82386558,2063494,1812288.0,35602578.0,58243436.0,382126.0,10398076.0
01:07:47,91862024,2332798,2083866.0,46040926.0,65490096.0,517192.0,13009476.0
01:07:48,101227566,2604796,2358608.0,56384292.0,72662442.0,653656.0,15597114.0
01:07:57,111977128,2942908,2657910.0,66822640.0,83060556.0,788722.0,18208514.0
01:07:58,122604918,3284374,2960508.0,77166006.0,93351774.0,925186.0,20796152.0
01:08:07,133354480,3622486,3259810.0,87604428.0,103749888.0,1139162.0,26835258.0
01:08:08,143982270,3963952,3562408.0,97947868.0,114041106.0,1355406.0,32806032.0
01:08:17,154731832,4318112,3919342.0,110990132.0,124439220.0,1569382.0,39574800.0
01:08:19,165359622,4675692,4280166.0,123921090.0,134730438.0,1785626.0,46258912.0
01:08:27,178312218,5127690,4637166.0,136963420.0,145128552.0,1999602.0,55310364.0
01:08:28,191123756,5584320,4998056.0,149894444.0,155419770.0,2215846.0,64260770.0
01:08:38,204889022,6054010,5417206.0,162937128.0,165817884.0,2429822.0,76050292.0
01:08:39,218498420,6528542,5840774.0,175868506.0,176109102.0,2646066.0,87716520.0
01:08:48,232263686,6998232,6322498.0,191780654.0,186507216.0,2910314.0,101803926.0
01:08:49,245873084,7472764,6809456.0,207553258.0,196798434.0,3177250.0,115739866.0
01:08:57,259638630,7942454,7291312.0,223465406.0,211301304.0,3546302.0,130274636.0
01:08:59,273248308,8416986,7778402.0,239238010.0,225654296.0,3919452.0,144656426.0
01:09:07,290166084,8923546,8329012.0,255150158.0,241830654.0,4288504.0,159191196.0
01:09:09,306899820,9435356,8885606.0,270922762.0,257845286.0,4661654.0,173572986.0
01:09:17,323817596,10033578,9436216.0,289579608.0,275495002.0,5030706.0,188107756.0
01:09:19,340551332,10638010,9992810.0,308074036.0,292966602.0,5403856.0,202489546.0
01:09:27,357469108,11249360,10543420.0,329600770.0,310616318.0,5836254.0,217613378.0
01:09:29,374202844,11866920,11100014.0,350945668.0,328087918.0,6273570.0,232581268.0
01:09:38,391120620,12525060,11724576.0,372472402.0,349115658.0,6705968.0,249859178.0
01:09:39,407854356,13189764,12355728.0,393817300.0,369947444.0,7143284.0,266955936.0
01:09:47,426817554,13847904,12992584.0,415344034.0,391537858.0,7621996.0,284233846.0
01:09:49,445583350,14512608,13636162.0,436688932.0,412924880.0,8106100.0,301330604.0
01:09:57,464546548,15170748,14273018.0,458215666.0,434515294.0,8584812.0,318608514.0
01:09:59,483312344,15835452,14916596.0,479560564.0,455902316.0,9068916.0,335705272.0
