Src,Dst,Total_Bytes
10.0.0.1,10.46.42.1,159878816
10.46.42.1,10.0.0.1,3497170
N/A,N/A,190130
10.0.0.1,10.123.123.123,231917308
10.123.123.123,10.0.0.1,5207222
10.0.0.4,10.123.123.123,146966646
10.123.123.123,10.0.0.4,3382628
10.0.0.2,10.46.42.1,135716694
10.46.42.1,10.0.0.2,3075672
10.0.0.4,10.46.42.1,251769960
10.46.42.1,10.0.0.4,5598722
10.0.0.1,10.46.42.3,91516220
10.46.42.3,10.0.0.1,2074344
10.0.0.3,10.46.42.1,162096874
10.46.42.1,10.0.0.3,3663888
10.0.0.2,10.123.123.123,226848450
10.123.123.123,10.0.0.2,5207002
10.0.0.2,10.46.42.3,116995420
10.46.42.3,10.0.0.2,2805454
10.0.0.3,10.46.42.3,124523370
10.46.42.3,10.0.0.3,2853742
10.0.0.3,10.123.123.123,49085028
10.123.123.123,10.0.0.3,1119744
10.0.0.4,10.46.42.3,57165710
10.46.42.3,10.0.0.4,1335376
